iter	Passed	Remaining
0	1	168
1	4	202
2	5	165
3	6	147
4	8	160
5	10	167
6	12	160
7	13	154
8	14	151
9	17	153
10	18	150
11	20	148
12	21	144
13	23	145
14	24	141
15	27	144
16	28	140
17	29	135
18	30	130
19	31	126
20	34	128
21	35	126
22	37	125
23	40	127
24	42	127
25	43	124
26	44	120
27	45	117
28	48	119
29	49	116
30	51	115
31	53	113
32	54	110
33	56	109
34	57	106
35	58	104
36	59	101
37	60	99
38	61	96
39	62	93
40	63	91
41	64	88
42	66	88
43	67	85
44	68	83
45	69	81
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	80	71
53	82	70
54	86	70
55	88	69
56	89	67
57	90	65
58	92	64
59	93	62
60	95	60
61	97	59
62	99	58
63	100	56
64	101	54
65	103	53
66	105	51
67	108	50
68	110	49
69	112	48
70	115	47
71	117	45
72	120	44
73	122	43
74	123	41
75	124	39
76	126	37
77	128	36
78	130	34
79	131	32
80	132	31
81	134	29
82	134	27
83	135	25
84	136	24
85	137	22
86	140	20
87	140	19
88	141	17
89	142	15
90	143	14
91	144	12
92	146	11
93	147	9
94	149	7
95	150	6
96	152	4
97	153	3
98	154	1
99	155	0
