iter	Passed	Remaining
0	147	147123
1	148	74077
2	149	49616
3	149	37338
4	150	30003
5	151	25104
6	152	21577
7	152	18913
8	153	16847
9	153	15186
10	153	13829
11	154	12699
12	154	11738
13	154	10915
14	155	10202
15	155	9584
16	156	9044
17	156	8558
18	157	8122
19	157	7728
20	158	7381
21	158	7057
22	159	6760
23	159	6487
24	160	6244
25	160	6013
26	160	5801
27	161	5607
28	161	5421
29	162	5247
30	162	5086
31	163	4939
32	164	4806
33	164	4678
34	165	4553
35	165	4434
36	166	4332
37	166	4223
38	167	4120
39	167	4023
40	168	3936
41	168	3849
42	169	3766
43	169	3685
44	170	3608
45	170	3533
46	170	3462
47	171	3394
48	171	3329
49	172	3268
50	172	3209
51	172	3151
52	173	3095
53	173	3042
54	174	2991
55	174	2941
56	174	2893
57	175	2846
58	175	2803
59	176	2759
60	176	2717
61	177	2688
62	178	2650
63	178	2612
64	179	2575
65	179	2539
66	179	2504
67	180	2476
68	181	2444
69	182	2421
70	182	2391
71	183	2360
72	183	2331
73	184	2304
74	184	2276
75	185	2250
76	185	2224
77	186	2198
78	186	2172
79	186	2149
80	187	2125
81	187	2101
82	188	2077
83	188	2055
84	189	2036
85	189	2016
86	190	1998
87	190	1978
88	191	1960
89	192	1941
90	192	1926
91	193	1907
92	193	1888
93	194	1871
94	194	1854
95	195	1837
96	196	1825
97	196	1809
98	196	1792
99	197	1780
100	198	1765
101	198	1750
102	199	1736
103	199	1722
104	200	1708
105	200	1693
106	201	1683
107	202	1669
108	202	1656
109	203	1643
110	203	1629
111	204	1617
112	204	1604
113	205	1593
114	205	1580
115	205	1568
116	206	1556
117	206	1545
118	207	1534
119	207	1523
120	208	1511
121	208	1500
122	208	1489
123	209	1479
124	209	1469
125	210	1459
126	210	1449
127	211	1441
128	212	1431
129	212	1422
130	213	1412
131	213	1403
132	213	1394
133	214	1385
134	214	1376
135	215	1367
136	215	1358
137	216	1350
138	216	1341
139	217	1333
140	217	1324
141	217	1316
142	218	1309
143	218	1300
144	219	1293
145	219	1285
146	220	1278
147	220	1270
148	221	1263
149	221	1256
150	222	1249
151	222	1242
152	223	1235
153	223	1228
154	224	1221
155	224	1214
156	225	1208
157	225	1201
158	225	1194
159	226	1189
160	226	1182
161	227	1175
162	227	1170
163	228	1164
164	228	1158
165	229	1152
166	229	1147
167	230	1141
168	230	1135
